日付,睡眠時間
2023/12/13,6.2
2023/12/14,5.3
2023/12/15,6.3
2023/12/16,10.4
2023/12/17,9.1
2023/12/18,6.4
2023/12/19,4.3
2023/12/20,5.5
2023/12/21,5.3
2023/12/22,9
2023/12/23,8.2
2023/12/24,8.4
2023/12/25,9.3
2023/12/26,7.2
2023/12/27,7.3
2023/12/28,7.5
2023/12/29,8
2023/12/30,6.3
2023/12/31,5.5
2024/01/01,7.3
2024/01/02,7.5
2024/01/03,7.2
2024/01/04,5.4
2024/01/05,7.5
2024/01/06,8.3
2024/01/07,9.1
2024/01/08,7.2
2024/01/09,6.1
2024/01/10,8.1
2024/01/11,5.5
2024/01/12,7.3
2024/01/13,4.1
2024/01/14,9.4